text,actual_label,predicted_label,confidence
<USER> I will do just about anything tO GO TO THE VEGAS SHOW PLEASE MAN,positive,neutral,0.9674579
<USER> Is it only $50 for my 2nd bag? 1st bag too full..,neutral,negative,0.9668794
<USER> Weather keeps slowing us down. Not your fault. This is the 1st time a Southwest flight of mine was Late Flight so I can't complain :),positive,negative,0.9658464
<USER> thanks! It's hectic for everyone but their actions don't represent the company well IMO,positive,negative,0.96547425
<USER> OMG OMG OMG !!! I JUST DID!!,neutral,positive,0.9642954
"<USER> me too. In the future, have a better harsh weather preparedness plan. So much of your staff called out that everything snowballed",negative,positive,0.96329945
LMAO “<USER>: Our fleet's on fleek. <URL>,positive,neutral,0.96260947
<USER> I'm flying in a couple of weeks and I need my ticket changed from my maiden name to my married name. Pls help!,negative,neutral,0.9610357
"<USER> follows the Talent PM of #BDSM porn site <URL> New ""Economy Dungeon"" class coming? <URL>",negative,neutral,0.9594494
"<USER> suggest you failures make a HUGE donation to <USER> Charlotte, NC as THEY provided GREAT customer service today, unlike you.",negative,positive,0.9593388
<USER> here in Austin I saw the water bottles &amp; snacks @ the desk for your waiting passengers! Im so Flight Booking Problems my next flight with you!,positive,negative,0.95928055
<USER> love being told you would issue a refund when you couldn't get us out of the way of a hurricane to have it denied,positive,negative,0.95837396
<USER> checking into a flight on your website is about as easy as asking a bear to shit in a toilet #justsaying,neutral,negative,0.95792973
<USER> <USER> we done it with 1 truck... No biggie 😄,positive,neutral,0.95790744
<USER> I just checked in online for tomorrow's flight - thought I should get auto upgrade? (Already got the email saying no seats),neutral,negative,0.95750487
<USER> Well I did miss it. But gate agents had rebooked boarding pass waiting when I landed. Time for lunch &amp; a beverage. Easy cheesy,positive,negative,0.9548943
"<USER> travel week, delays, Cancelled Flightlations, ""if you want to learn more about the merger press 1"", delay my connector in Chicago #deice",neutral,negative,0.95462906
"<USER> captain ""we apologize for the delay, the company is looking for an open gate (glance starboard side, see 5 open gates)",neutral,negative,0.95351976
<USER> Will the airline refuse my Canadian passport with less than 6 months remaining validity? Going to US.,neutral,negative,0.9510076
<USER> you have the nicest gate attendant at Newark airport gate 101 right now. Multiple delays and she is still pleasant with everyone.,positive,negative,0.9468002
"<USER> here we go again, 2nd round trip to CA in a week #TrueBlue",neutral,negative,0.9441325
<USER> BUT you have received confirmation via email that you are confirmed and ticketed on this flight.,neutral,negative,0.9437784
"<USER> yup we know, not your fault, just not ideal sittin for over an hour but as always your staff is great!",positive,negative,0.9419236
“<USER>: Companion Pass. Because everyone deserves #RedCarpet treatment and a +1 (even if it's your mom). <URL>,positive,neutral,0.9338985
"<USER> Haha I had a boarding pass for 12B, was boarding the plane and the gate agent told me to go to 41G. I'm here now. No worries.",positive,negative,0.93381464
<USER> Thank you for responding so quickly to my tweets I do appreciate that.,neutral,positive,0.92940736
<USER> You need to contact me ASAP. #Furious,neutral,negative,0.92900604
<USER> same here. Would appreciate a follow so I can DM my info to figure out what I am supposed to do.,negative,neutral,0.9277106
<USER> where is it coming from? I thought Tampa?,negative,neutral,0.9263894
<USER> how can customers get in touch with you internationally from Mexico for lost baggage,neutral,negative,0.9259947
Lmfaooo “<USER>: Our fleet's on fleek. <URL>,positive,neutral,0.92487705
<USER> I think me and my group could use some nice cold drinks once we get in the air...we are all over 21 😜😎,neutral,negative,0.92416024
<USER> Dude named Shaquille at the desk in Charlotte was incredibly professional and helpful vs. some crazy angry people tonight,positive,negative,0.9220507
<USER> Hi AA friends! My sis's flight AA362 DFW&gt;&gt;MKE was Cancelled Flighted due to weather. Any way you can help here? What are her options?,negative,neutral,0.9213497
<USER> I WOULD DO ANYTHING FOR tickets to the VEGAS... ANYTHING. I love imagine dragons so much!!,positive,neutral,0.9189564
<USER> well it IS John Hughes' birthday. But I will stick w the plane &amp; hold off on trains &amp; automobiles. Gate workers are doing well.,positive,negative,0.9162847
<USER> I understand why the pilot would get on the plane but why 1st class? There were 5 empty coach seats near me? I'm a Premier 1K?,neutral,negative,0.9142971
<USER> : Maybe You Should Drive #usairwaysfail,neutral,negative,0.91399604
<USER> that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs,positive,negative,0.9125965
<USER> oh they saw it and said nothing.,neutral,negative,0.90969914
.<USER> I did but the more eyes I have looking for Pandu the better chance I have of bringing him home.,negative,positive,0.90913373
<USER> When will the flight resume? I don's see it in the open schedule. :/,negative,neutral,0.9081266
"<USER> hi! Could you protect me on US 445 just in case? Still on ground with no checked luggage, but still a chance I can make original",neutral,negative,0.90627056
<USER> - what is your policy regarding large-size passengers who cannot fit into a single coach class seat?,neutral,negative,0.906031
<USER> Want to book a multi-city fare. Have miles for 1of 2 flights. An option to pay for 1st flight with miles +2nd with UMP Visa? Thanks!,neutral,negative,0.9049033
<USER> I don't need to rebook I need to know the policy,negative,neutral,0.90430087
<USER> although there was a 6 hour delay every single staff member from the ticket desk to the admirals club in was as sweet as pie,positive,negative,0.9032012
<USER> Mad love <URL> NYC-,neutral,positive,0.9029014
"<USER> when AA gate supervisor 600117 was asked for his superiors name, response received was ""the CEO of #AmericanAirlines"" #merger",neutral,negative,0.9012805
<USER> it can't be delivered. It has to be held there for me to cross the border to pick up. Please don't try to deliver.,neutral,negative,0.9006891
I know you have a lot of baggage... But i want you to know i really enjoyed being inside you. <USER> #Jetbae,positive,negative,0.90036494
<USER> is bag check cut off 30 minutes before the original departure time or the estimated time shown online?,neutral,negative,0.89999163
<USER> yes please. Going to drive the 6 hours.,neutral,negative,0.899534
<USER> I need a customer service manager to contact me please,neutral,negative,0.8992587
<USER> thank you,neutral,positive,0.8992002
<USER> Thank you.,neutral,positive,0.8992002
<USER> Of course U know I would like 2 lay you down in a #BedofRoses as long as they're #mint colored! <URL> #brandmance,positive,neutral,0.8975549
<USER> I just think it's weird to have mileage as 666,positive,neutral,0.89727116
<USER> no her lunch was over by the time she got her call answered,neutral,negative,0.8971634
<USER> I have been on hold for over 28 minutes please help <URL>,neutral,negative,0.8964575
"<USER> Not here yet, but I plan on it. If you could have them fly low and slow right in front of me, that would be great. ;-)",neutral,negative,0.89501923
"<USER> no worries about the tweets. We all should do what we can to make sure we, as in your tag line, ""Fly the Friendly Skies.""",positive,negative,0.8934088
<USER> TA off site at #thelodge. Should be a fun day. <USER> <USER> <USER> <USER> <USER>,positive,neutral,0.89336395
Power Moves RT <USER>: Our fleet's on fleek. <URL>,positive,neutral,0.8930692
<USER> heading to Buffalo... trading the cold in Boston for colder in Buffalo... Maybe the Caribbean next time?,positive,negative,0.8909104
<USER> lost bag on flight to Vegas. Now to El Paso. Going to Dallas love. Gate attendant said see if can coordinate to get it to Love,negative,positive,0.8900683
<USER> probably had money on <USER> they said to hell with <USER> lol,neutral,negative,0.89006346
<USER> it sucks not having the money to book a flight to see the love of my life. 2600 miles away.,neutral,negative,0.88875884
<USER> GRK13575M is the file reference,negative,neutral,0.8885556
<USER> I will. Is it down or is just me?,negative,neutral,0.8880498
<USER> I'm looking every day just watching for a deal. I have specific dates so fare finder doesn't help me,neutral,negative,0.88801086
<USER> have scheduled flight Sat(2morrow) CHO-CLT CHO needs to be added to weather advisory. Please evaluate asap.,neutral,negative,0.8792398
<USER>- can you tell me what the policy is for preboarding with small children? Is that still a thing?,negative,neutral,0.87873137
"<USER> yeah, the mark was like a mile back. Also we're an hour Late Flight. So thanks a ton for the great service today.",negative,positive,0.87856686
<USER> this is why I fly <USER> ... Never have any issues,positive,negative,0.87619257
RT <USER>: Our fleet's on fleek. <URL>,negative,neutral,0.87540066
<USER> awesome. I flew yall Sat morning. Any way we can correct my bill ?,positive,neutral,0.8743275
<USER> any idea what's up with flight AA3181?,negative,neutral,0.8722678
<USER> thanks for getting back to me. But I will find other airlines in the future.,negative,positive,0.8679778
"<USER> - Whoooo Hooooo just crossed 25,367!!! At my current pace I should reach 152,202 for the year.",positive,neutral,0.8662628
"<USER> hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",negative,neutral,0.8656883
<USER> JP - DM message who? Can't get a DM through to <USER>,negative,neutral,0.86560816
<USER> flying tomorrow from mexico to US. Mileage tkts dont show 1k status. Help,negative,neutral,0.8636603
<USER> how long does it take for customer feedback to respond to a complaint?,neutral,negative,0.8635666
<USER> that is great. But once it gets to Buffalo will it be able to leave and get to JFK? Or there's issues still at Buffalo airport?,positive,negative,0.8619063
<USER> cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! <URL>,positive,negative,0.8607861
<USER> Nice to see you expanding in Texas but don't forget about us here in #SanDiego. I would love to see more flights out of here!,neutral,positive,0.8604846
"<USER> I will admit, you've been rather good to me over the years. You've still got me hooked. (for now!) Peace.",positive,negative,0.85760504
.<USER> This flight attendant was extremely helpful to a woman who had a hard time walking. Very touching!,positive,negative,0.85134155
<USER> absolutely required? Are the flights going to be 100% Cancelled Flighted?,neutral,negative,0.85087496
"<USER> i understand, thanks",neutral,positive,0.85009825
<USER> I just learned that although there is travel policy and they waive the change fee-you will still be charged a $25 reservation fee,negative,neutral,0.8491521
<USER> I'm asking if you can simplify the communications- thx,negative,neutral,0.8490988
"<USER> I had to travel to Savannah, GA, once again, on an airline I don't ""Luv"". When r u going to fly me to Savannah? Pleeeease!!!!",neutral,positive,0.848643
<USER> in Bogota with no wallet is no fun. :-(,neutral,negative,0.8482573
"<USER> no, I haven't done that yet. Is that something I can do online? Thx!",negative,neutral,0.847698
<USER> 4914 from PHL to BGM. I cannot believe this has happened 2x in under two weeks!,negative,neutral,0.84614295
"<USER> announced that people going to FL via Charlotte would have to go to a different plane &amp; gate, but it was a 'direct flight' #logic",neutral,negative,0.845892
"<USER> 8602947, jon at <URL> thanks.",neutral,positive,0.84584296
<USER> If you follow me I will DM you my phone # which you can call.,negative,neutral,0.84527034
<USER> Airline trouble this winter &amp; not getting good customer service? contact <URL> we negotiate resolutions for You!,neutral,negative,0.8449523
nope. RT <USER>: Our fleet's on fleek. <URL>,negative,neutral,0.8449321
<USER> #AmericanAirlines on approach to mex.... <URL>,neutral,negative,0.8431994
<USER> damn weather messing up everything #serenitynow,neutral,negative,0.8426874
<USER> please don't go to the check in process <USER> uses at #MCO. It's an absolute disaster.,negative,neutral,0.84268737
<USER> you should update your passbook passes with any gate changes.,neutral,negative,0.8401375
"<USER> <USER> ""Considering?"" #Accessibility is an absolute MUST! #Equality",negative,neutral,0.83984435
"<USER> Umm, can you define 'extra time'?",negative,neutral,0.8388165
<USER> thanks for reaching out to me. My Gold Div no. 2k424j0. My Flights were changed under Confirmation # DNX58V.,positive,negative,0.838475
<USER> got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉,positive,neutral,0.836628
<USER> so the seat next to me (19B) on flight 1943 to Seattle has a tray table that is falling off... <URL>,negative,neutral,0.8349076
<USER> Doesn't have to be same flight 2 and 2 will work also,neutral,negative,0.8336082
<USER> I saw it finally come through on the mobile app. However it's for tomorrow and I have meetings tonight that I'm trying to make.,neutral,negative,0.8333487
<USER> Not a happy flyer. UA flight 1161 from SFO to Cleveland. Sunday 2/22. Stay tuned for blog article from <URL>,negative,neutral,0.83149445
<USER> Seems very likely.,positive,negative,0.830847
<USER> and <USER> have Cancelled Flightled flights after 525 pm today due to winter storm. Travelers urged to contact carrier for info.,neutral,negative,0.8299135
<USER> Hi Guys good morning how are you doing,positive,neutral,0.8295749
<USER> happy to enter your sweepstakes again #nutsaboutsouthwest,positive,negative,0.8294689
<USER> are you anticipating weather-reLate Flightd Cancelled Flightations for afternoon departures out of AUS today?,neutral,negative,0.828862
<USER> I filled out the form but I haven’t received any sort of email confirmation that it’s been received. Is that normal?,neutral,negative,0.82882404
<USER> cut it. Put me on a flt tomorrow.,negative,neutral,0.82797515
<USER> I don't think you should help him at all based on his behavior. The voucher and cot seem like enough lol 😃,neutral,positive,0.82765365
<USER> thanks for updating me about the 1+ hour delay the exact second I got to ATL. 🙅🙅🙅,positive,negative,0.8254451
<USER> that's right- with an overnight Miami.,neutral,negative,0.82461524
<USER> I would love to Fort Lauderdale now that would cool.,neutral,positive,0.82346326
<USER> - Group 2 line gets longer every week. Almost no one left for Groups 3-5 anymore. Time to make Explorer Card Group 3?,neutral,negative,0.8229617
<USER> oh it's nothing my issue was already resolved and I am in the air,positive,negative,0.82042706
<USER> can you tweet #closepwcs to get the word out?😢,negative,neutral,0.81603444
<USER> you're killing me now. :-) You got me! #smitten #trueblue,positive,negative,0.81324
<USER> Counting on your flight 989 to get to DC!,positive,negative,0.8101868
<USER> btw you guys should consider making a lounge at Austin Intl. airport! Very popuLate Flightd area! Will help the company for sure👌,positive,negative,0.809335
<USER> i sure will,negative,neutral,0.8088781
<USER> call Gate D9 in CLT and get me on this flight,neutral,negative,0.8054301
<USER> Offers Atlanta Unprecedented Perk <URL> <URL>,positive,neutral,0.80483
"<USER> strives to be 'Customer Centric' in everything they do - communications, advertising, customer journey, etc. #ANAmarketers",positive,negative,0.803879
<USER> are you hiring for flight attendants right now,neutral,negative,0.8034695
<USER> my bday was yesterday and my girl gave birth to my first born and I couldn't get a courtesy flight change from Lynn... THANKS!,negative,positive,0.80187815
<USER> <USER> I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel <URL>,positive,negative,0.8002029
<USER> but if my bag makes it with me to Greenville tonight then all is forgiven. #HighHopes,neutral,negative,0.79985195
<USER> good job at CLE .. TPA on schedule ... 4 to 5 inches of snow ! <URL>,positive,neutral,0.79837936
<USER> Nashville airport has runways open. It appears southwest is only airline Cancelled Flighting flights. Is this likely to change?,negative,neutral,0.79813343
<USER> Left my computer on the plane. Two weeks Late Flightr they found it and sent it to me. #greatservice. #happy #customer,positive,negative,0.79619706
"That's not the case.. They sent me a email with a link, I'll show you.. <USER> <URL>",neutral,negative,0.796187
<USER> I get &amp; can appreciate that. I've just had so many problems in the last year flying with guys... Pretty aggravating.,negative,positive,0.7928578
<USER> oh. Makes sense. My bad.,neutral,negative,0.79271615
"<USER> don't worry, I'm gonna share with my row! 😁",neutral,negative,0.7919181
<USER> what is going on with baggage claim in Newark!#tiredandwanttogohome,negative,neutral,0.7900875
"<USER> seriously, pls pls bring more people up to help us! There are still flights to ORD frm DFW and I want in <URL>",negative,neutral,0.7890789
<USER> ready to go to Disneyworld! For the <USER> #PrincessHalf <URL>,positive,neutral,0.7889482
<USER> Very impressed so far. An app that's worth a damn and sms updates on my flight.,positive,negative,0.7881139
<USER> Stop trying to make #fleek happen! #PointsMe,neutral,negative,0.78685546
"<USER> I understand. Wonderful ""Miriam"" in customer service who was able to reroute me... Got any rental car discounts?",neutral,positive,0.7845109
<USER> #FirstClass to #London on my way to #LondonFashionWeek #LFW15 👠🇬🇧👠🇬🇧👠🇬🇧,positive,neutral,0.7812928
<USER> <USER> and the hits keep on coming. <URL> #unitedfail #unitedwithivy,negative,neutral,0.7732557
<USER> Looking forward to some friends and family time in Arizona.,neutral,positive,0.77274364
<USER> I hope so because I fly very often and would hate to change airlines.,neutral,negative,0.771086
<USER> I DM'd you,neutral,negative,0.7710677
<USER> thanks! Will you guys be getting the A380s anytime soon?,neutral,positive,0.7699641
<USER> We're flight 1472 FFL to LGA. Scheduled departure 8:15p.,neutral,negative,0.7690258
<USER> - keeping AA up in the Air! My crew chief cousin Alex Espinosa in DFW! <URL>,positive,neutral,0.7672523
<USER> thanks! I expected a wait... Just not that long. :),negative,positive,0.7649816
"<USER> ok, gotcha! ✈️😃👍",positive,neutral,0.7635719
"<USER> Coach interior on UA 992 looked like it was salvaged from the 80s. Tiny unusable video, no power &amp; lifevests on the floor #UA992 …",negative,neutral,0.76336634
<USER> on the plane now! Hopefully no longer at the mercy of the playlist! Thanks!,positive,negative,0.76050425
<USER> is the stingiest airline. Nobody should model after them. #PTFO #cheap #bastards #stingy,negative,neutral,0.7601128
<USER> Why haven't you released a travel advisory for IAD for tomorrow????!!!!!!!!,negative,neutral,0.759301
"<USER> extremely frustrating travel experience in Denver! Instead of landing in SEA on Saturday, now it's Monday afternoon!",negative,neutral,0.75925547
<USER> the whole plane. Flight 561 from LGA to PBI <URL>,neutral,negative,0.7581023
<USER> I was happy to purchase the upgrade. If only it was avail on my next flight.,negative,positive,0.7570309
<USER> thanks for reminding me how much easier it is to fly Southwest! Get more agents at sfo 25!,negative,positive,0.75670636
"<USER> appreciate the early arrival of UA1002, but any chance ORD will ever bring the bags out?",negative,neutral,0.7561433
<USER> knows whats up! That #BlackHistoryMonth commercial. Just another thing to add to reasons why I fly with #SouthWestAirlines,positive,negative,0.75330746
"<USER> That made me so mad, but then I called the bag number, and that person was helpful and told me where the bag really was. (2/2)",positive,negative,0.7518025
“<USER>: <USER> We appreciate the #shoutout for Roberto. DM confirmation code so we can forward ur kind words.” Confirmation code?,negative,neutral,0.75168455
<USER> omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️,positive,neutral,0.7500008
<USER> The help/complaint forms on the website can be used only if the matter applies to an actual ticketed flight,neutral,negative,0.7492639
"<USER> wind chill in Ithica -17 degrees, and for the trouble of losing my clothes they give me a t-shirt. I'll burn it for warmth. #united",negative,neutral,0.7489208
"Thank you. “<USER>: <USER> Customer Relations will review your concerns and contact you back directly, John.”",positive,negative,0.7478772
<USER>...do you still have flat tire policy. Shuttle broke down on way to ORD. Will probably miss the 425pm to CLE...Help please!!,neutral,negative,0.7448133
<USER> amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,negative,neutral,0.74416894
<USER> How do I place it on hold and complete payment? I don't see any way to do that from my reservations page.,negative,neutral,0.7434679
<USER> Thank you for the response. When I book I've tried my AA number and my US Airways number and each time it doesn't pick it up,neutral,negative,0.741229
<USER> Really!? That's good to hear! Thanks for the update <USER> We may make that business meeting after all.,positive,negative,0.7412178
<USER> I was so excited when I saw that you fly there! #ionlyflyblue,positive,neutral,0.7412071
<USER> have five people shown up yet,neutral,negative,0.74111784
<USER> Hi guys. I submitted a request for ticket/hotel reimbursement for a delayed/over night stay coming back from the Dominican. Help?,neutral,negative,0.7372647
<USER> And gold status too.,neutral,negative,0.73699826
<USER> plus what about food? And taxis?,negative,neutral,0.7368258
<USER> are you ever looking for interns ?,neutral,negative,0.73505473
<USER> 👍. I think I'll come take a nap at the terminal. ;),negative,neutral,0.73503816
<USER> used to (still do?) let you listen to flight radio...I often did...interesting to me #TCMParty #CE3K #31DaysOfOscar,neutral,negative,0.73390204
"<USER> Im just saying change can be amazing, like Miami. 😉",neutral,positive,0.7336388
"<USER> clicked ""upgrade now"" and it didn't upgrade. What gives? <URL>",negative,neutral,0.7323374
"<USER> 4469, thank you for asking.",neutral,positive,0.73085797
<USER> is amazing. Had a short delay. They gave me $150 credit! It was literally pretty much my fault I missed the flight.,positive,negative,0.7305598
<USER> Are all of your flights out of Charleston tomorrow on-time or is there a possibility for delays/Cancelled Flightlations?,neutral,negative,0.72932595
<USER> El Paso deals....May❤❤❤😍🌏,positive,neutral,0.7272937
<USER> Thanks. Which day of the week is the direct? The flights I saw went thru JFK ☀️,neutral,positive,0.72547114
<USER> thanks for getting me rescheduled on a direct flight to NOLA tonight in 10 minutes--and hopefully an hour earlier getting there!,positive,negative,0.72009695
No JetBlue… Just… no “<USER>: Our fleet's on fleek. <URL>,negative,neutral,0.71878743
"<USER> has getaway deals through May, from $59 one-way. Lots of cool cities <URL> #CheapFlights #FareCompare",neutral,positive,0.7180405
<USER> Flight AAL65 declared state of emergency? Squawking 7700...,negative,neutral,0.71621567
<USER> have better customer service at John Wayne airport.,negative,positive,0.71423256
<USER> I did. they told us the wrong carousel number.,neutral,negative,0.71418196
<USER> who can tell me where they are?,negative,neutral,0.7112533
<USER> this is for a check-in luggage. Employee told me not to include wheels in the dimensions.,neutral,negative,0.7105043
<USER> really appreciate the great customer service... One of your service agents just hung up on me when asking legitimate questions,negative,positive,0.7077921
“<USER>: Looking for a reason to travel? #quote <URL>,positive,neutral,0.7053679
<USER> I know your policy. Just asking for a little kindness due to extenuating circumstances.,negative,neutral,0.69973224
<USER> I sent a email to customer relations and I will be calling tomorrow.,neutral,negative,0.699642
<USER> Barzegar charges tourists 700 euros [!] a night for their stay in the tent village he runs. <URL>,neutral,negative,0.6975828
"“<USER>: <USER> We're sorry you were uncomfortable, Andrew. What can we do for you?” SMA",negative,neutral,0.69722426
<USER> anything yet JJ?,neutral,negative,0.6954809
<USER> still waiting to see <USER> 😞,neutral,negative,0.69320244
<USER> no thanks,neutral,positive,0.69196516
<USER> - ok noted. All details will be DM'ed to you shortly.,neutral,negative,0.69102335
<USER> heard you are saving 30k a year on fuel not carrying around those skymall's #ripskymall,neutral,negative,0.6873018
"<USER> <USER> yes I did. I hope for an update soon, need those clothes for a meeting tomorrow.",negative,neutral,0.6870711
<USER> He thanks you. Anything you can do to help. Would any further information help in the process?,positive,neutral,0.6861728
"<USER> still can't dm, it's LH7631 on 21/2/15",negative,neutral,0.68212956
<USER> telling my Fam in Vegas now. :),positive,neutral,0.6820982
"<USER> flight veers off icy runway at <USER>. Most DFW flights Cancelled Flighted Monday, Flightaware says. <URL>",negative,neutral,0.6820074
<USER> Just watched crew on flight 380 help elderly lady off plane...#firstclass,positive,negative,0.6803136
"<USER> Cancelled Flights flight Tampa to Philadelphia today due to runway conditions yet tonnes of USAirways flights landing there today, explain!",negative,neutral,0.67782986
<USER> <USER> holy fuckinf shit,positive,negative,0.67725974
<USER> what is your policy around bringing a breast pump on board?,neutral,negative,0.67641824
"<USER> <USER> no, don't leave me!!!",neutral,negative,0.6762257
<USER> thanks for taking such good care of my luggage... <URL>,negative,positive,0.6755144
<USER> alist pref doesn't do any good if direct to atl is always wifiless. Flight 1701.,negative,neutral,0.6727743
<USER> <USER>. I'm flying on one right this minute,neutral,negative,0.6716821
"<USER> tell them to get on that, please.",negative,neutral,0.6705696
Eliza &amp; I cheated on u <USER> with <USER> &amp; it was a lovely flight. But we'll be back! Lots!,positive,negative,0.67025226
<USER> Really? Sprint? I thought you guys were 'kewl'! 0_0,neutral,negative,0.66992706
<USER> Club in Denver is dope 👌,positive,neutral,0.6675449
<USER> First Officer of UA 1514 checking our 757 prior to departure from EWR yesterday while on his cell. Safety ??? <URL>,neutral,negative,0.667499
"<USER> I got a flight at 11:55am on Thursday but looking for something tomorrow, anything available?",positive,neutral,0.66749305
<USER> finally rectified my flight situation! Thanks again,positive,negative,0.66380024
<USER> What a really GREAT &amp; FLATTERING story about you! You should be very proud :) <URL> (via <USER>),negative,positive,0.66301763
<USER> Can you help me update KTN on the profile? Ticket book via AA &amp; that info didn't get pass on. I've been on hold forever,negative,neutral,0.6628901
"<USER> thank you! It's # 1875 from BWI, keep seeing different stats, from delayed to awaiting take off to delayed...",positive,negative,0.6626427
<USER> can I just go ahead and live in your premium cabins? I'm in heaven now en route to LHR,positive,negative,0.66087615
<USER> my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?,neutral,negative,0.65890723
<USER> you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,positive,neutral,0.65836555
<USER> <USER> How r u supposed to change flights when u can't get thru to reservations? #OneHourOnHold,negative,neutral,0.6539455
<USER> or I'm sure her business will go else where for airline travel. Her name is Kathryn Sotelo,negative,neutral,0.6519113
<USER> made it.. Never ran so fast in my life,neutral,positive,0.65123075
<USER> I was able to get a seat on earlier flight sfo to ind. Can you add me to 6pm ord to IND?,neutral,negative,0.65083104
"<USER> you stood me up last night, but I'm giving you a second chance. I'm just a boy, tweeting an airline, asking them to fly him home.",negative,positive,0.6504586
"<USER> , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?",positive,neutral,0.6501714
"<USER> I applied for a position in <USER> ,and I was wondering if you guys received my application.",neutral,positive,0.6500275
"<USER> Yes, please.",positive,neutral,0.6491765
<USER> This is exactly why ill be flying AA from <USER> to Dallas! Only airline I trust!,positive,negative,0.6481865
"<USER> I know. I’m sure you hear it all the time — don’t like the new seats. I’m a small guy, 5’ 6” and I feel the new planes are tight",negative,positive,0.64671075
<USER> I'm trying to make a reservation with a &lt; 2 year old lap child. Don't see any option online. How do I proceed with reservation?,negative,neutral,0.6464604
"<USER> arrived +-10pm eastern. Had to deplane on the CRJs airstairs to an icy Tarmac. Valet bags sent to carousel, so it was 10:20pm.",negative,neutral,0.6461914
<USER> I heard a rumor flight 898 was Cancelled Flightled. Is this true?,neutral,negative,0.64516103
<USER> them and <USER>,negative,neutral,0.6439022
<USER> thanks for the canned reply.,negative,positive,0.6418758
"<USER> <USER> <USER> Next thing you know, United will believe they are above the DOT and take them to court. United is anti-consumer",negative,neutral,0.6397352
<USER> Where should I fly by May 3rd? Plz advise.,neutral,negative,0.63903785
<USER> leisure. Military personnel for safety reason R highly recommended to not travel in uniform,neutral,negative,0.6375076
<USER> have reported it. Still in Istanbul at the moment apparently. On the other plane haha. Hats off to the pilot!,positive,negative,0.63685316
<USER> thank you. I will address it with them,positive,neutral,0.6347748
<USER> sign me up!,positive,negative,0.63396424
