text,actual_label,predicted_label
<USER> Just watched crew on flight 380 help elderly lady off plane...#firstclass,positive,negative
<USER> Really? Sprint? I thought you guys were 'kewl'! 0_0,neutral,negative
<USER> one last thing....United club crackers...nabisco?? Where are the Pepperidge Farms?,neutral,negative
<USER> just called and did it. Should have earlier because I'm being sent to DCA first and THEN to pvd. We may rent a car instead.,neutral,negative
<USER> have five people shown up yet,neutral,negative
"<USER> That made me so mad, but then I called the bag number, and that person was helpful and told me where the bag really was. (2/2)",positive,negative
<USER> I was so excited when I saw that you fly there! #ionlyflyblue,positive,neutral
Lmfaooo “<USER>: Our fleet's on fleek. <URL>,positive,neutral
<USER> y'all are fast we already have our 5 winners! Congrats!!,positive,neutral
<USER> you a bish,negative,neutral
<USER> in fact he received my boarding pass,neutral,positive
<USER> omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️,positive,neutral
"<USER> they are all -pilots, FA and ground personnel doing a great job. Weather is to blame... Who do I talk to about that :)",positive,negative
"<USER> come on, reopen 1285 at ORD and clear your growing DC backlog",negative,neutral
BUT <USER> just re-booked to BOS; UGGH!! now 3 hour bus to WMASS home. Could have flown to BDL &amp; back to DC in same time. #unitedairlines,negative,positive
"<USER> trying to change flight via DFW tomorrow, can't get thru on phone, long wait then cut off x2, can you help please?",negative,neutral
<USER> ticks me off.,negative,neutral
<USER> is making dreams come true with their #DestinationDragons scavenger hunt! You can win a chance to see Imagine Dragons! Go!,positive,neutral
<USER> to offer service from Daytona Beach to New York - Albany Business Review <URL>,positive,negative
<USER> hello I am flying first class and am behind 20 people on zone 1!!!!! Pls pass on to app dept - you should board 1st class first,negative,neutral
"<USER> i understand, thanks",neutral,positive
“<USER>: <USER> We appreciate the #shoutout for Roberto. DM confirmation code so we can forward ur kind words.” Confirmation code?,negative,neutral
<USER> I will do just about anything tO GO TO THE VEGAS SHOW PLEASE MAN,positive,neutral
<USER> <USER> well here we go,positive,neutral
<USER> <USER> holy fuckinf shit,positive,negative
"<USER> $192 rndtrp 4/30-5/5 ""<USER>: RT <USER>: If you're trying to make travel reservations for Vegas on May 2nd it's too Late Flight""",neutral,negative
<USER> used to (still do?) let you listen to flight radio...I often did...interesting to me #TCMParty #CE3K #31DaysOfOscar,neutral,negative
<USER> When will the flight resume? I don's see it in the open schedule. :/,negative,neutral
<USER> ok. I just submitted. Thanks for the opportunity to give feedback.,positive,neutral
<USER> call Gate D9 in CLT and get me on this flight,neutral,negative
<USER> Hi Guys good morning how are you doing,positive,neutral
"<USER> here we go again, 2nd round trip to CA in a week #TrueBlue",neutral,negative
<USER>'s first-class #cockup <URL>,negative,positive
<USER> Why haven't you released a travel advisory for IAD for tomorrow????!!!!!!!!,negative,neutral
<USER> you should update your passbook passes with any gate changes.,neutral,negative
"<USER> If you believe in keeping your customers happy, especially after a mistake was made on your part...",negative,positive
<USER> that's right- with an overnight Miami.,neutral,negative
<USER> thanks for reaching out to me. My Gold Div no. 2k424j0. My Flights were changed under Confirmation # DNX58V.,positive,negative
<USER> I will. Is it down or is just me?,negative,neutral
"<USER> I ""heart"" Southwest but those commercials aimed to satisfy a nano-smattering of travelers to few destinations.",negative,neutral
<USER> anything yet JJ?,neutral,negative
<USER> Hi. Get error msg when trying to check in on line. States: wrong pass#. Tickets rcvd from AA due to training in DFW. U know Y?,negative,neutral
<USER> I DM'd you,neutral,negative
<USER> get me outta here,negative,positive
<USER> it would be super if you paid as much attention to actual fliers as you do to credit card holders.,negative,neutral
"<USER> appreciate the early arrival of UA1002, but any chance ORD will ever bring the bags out?",negative,neutral
"<USER> hi! Could you protect me on US 445 just in case? Still on ground with no checked luggage, but still a chance I can make original",neutral,negative
<USER> I just checked in online for tomorrow's flight - thought I should get auto upgrade? (Already got the email saying no seats),neutral,negative
<USER> #tbt every day.,positive,negative
<USER> love being told you would issue a refund when you couldn't get us out of the way of a hurricane to have it denied,positive,negative
"<USER> thank you for Cancelled Flighting my flight, last minute of course, to #GIS2015. I'm now missing one full day of my trip thanks to this!",negative,positive
"<USER> 8602947, jon at <URL> thanks.",neutral,positive
<USER> made it.. Never ran so fast in my life,neutral,positive
<USER> that's it?!?!?,negative,neutral
<USER> Weather keeps slowing us down. Not your fault. This is the 1st time a Southwest flight of mine was Late Flight so I can't complain :),positive,negative
<USER> 4914 from PHL to BGM. I cannot believe this has happened 2x in under two weeks!,negative,neutral
<USER> workin on it. Waiting on him to reply.,neutral,negative
<USER> how long does it take for customer feedback to respond to a complaint?,neutral,negative
<USER> oh they saw it and said nothing.,neutral,negative
"<USER> Yo, could that be a catering truck before mine eyes? Unmoving? <URL>",neutral,positive
<USER> Can you help me update KTN on the profile? Ticket book via AA &amp; that info didn't get pass on. I've been on hold forever,negative,neutral
<USER> How do I place it on hold and complete payment? I don't see any way to do that from my reservations page.,negative,neutral
<USER> You need to contact me ASAP. #Furious,neutral,negative
<USER> I unfortunately didn't get her name :( she was not nice!,negative,neutral
<USER> Left my computer on the plane. Two weeks Late Flightr they found it and sent it to me. #greatservice. #happy #customer,positive,negative
<USER> thank you! My lost item was located at ORD and is being returned to me.,positive,negative
<USER> Offers Atlanta Unprecedented Perk <URL> <URL>,positive,neutral
“<USER>: Looking for a reason to travel? #quote <URL>,positive,neutral
<USER> I filled out the form but I haven’t received any sort of email confirmation that it’s been received. Is that normal?,neutral,negative
<USER> Thanks! Are they really open 3.30 am - 7 pm every day? Any way to check they are open before going all the way there? Thanks.,positive,neutral
"<USER> Haha I had a boarding pass for 12B, was boarding the plane and the gate agent told me to go to 41G. I'm here now. No worries.",positive,negative
<USER> ready to go to Disneyworld! For the <USER> #PrincessHalf <URL>,positive,neutral
<USER> #AmericanAirlines on approach to mex.... <URL>,neutral,negative
"<USER> could care more about their customer, if there is a reasonable request :(",negative,neutral
<USER> cut it. Put me on a flt tomorrow.,negative,neutral
<USER> I'm asking if you can simplify the communications- thx,negative,neutral
"<USER> hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",negative,neutral
<USER> leisure. Military personnel for safety reason R highly recommended to not travel in uniform,neutral,negative
<USER> they told to check with the airline regulation first so that is why I contacted you.,neutral,negative
<USER> it sucks not having the money to book a flight to see the love of my life. 2600 miles away.,neutral,negative
"<USER> announced that people going to FL via Charlotte would have to go to a different plane &amp; gate, but it was a 'direct flight' #logic",neutral,negative
<USER> so the seat next to me (19B) on flight 1943 to Seattle has a tray table that is falling off... <URL>,negative,neutral
<USER> I received a brochure in the mail touting all the benefits of the advantage card with usa now merged...baggage included,neutral,negative
"<USER> Im just saying change can be amazing, like Miami. 😉",neutral,positive
<USER> <USER> How r u supposed to change flights when u can't get thru to reservations? #OneHourOnHold,negative,neutral
<USER> and the fact that we were treated disrespectfully and lied to by members of your airline that claims to strive for the best,negative,positive
"<USER> but it's not their fault, because their policy says they at least got us to our destination. Really?",neutral,negative
"<USER> I got a flight at 11:55am on Thursday but looking for something tomorrow, anything available?",positive,neutral
<USER> I hope so because I fly very often and would hate to change airlines.,neutral,negative
<USER> flt 1820 2rsw could have extended the courtsey of waiting 2min 4 10 of us.... gates closed in r faces. Ur fired,negative,neutral
"<USER> in the process of purchasing ticket, when prices changed. unbelievable. #RipOffs #PriceDiscrimination",negative,neutral
"<USER> flight veers off icy runway at <USER>. Most DFW flights Cancelled Flighted Monday, Flightaware says. <URL>",negative,neutral
<USER> please don't go to the check in process <USER> uses at #MCO. It's an absolute disaster.,negative,neutral
<USER> things happen it's ok just wish I was on the beach and not in the airport,positive,neutral
"<USER> no worries about the tweets. We all should do what we can to make sure we, as in your tag line, ""Fly the Friendly Skies.""",positive,negative
<USER> Not a happy flyer. UA flight 1161 from SFO to Cleveland. Sunday 2/22. Stay tuned for blog article from <URL>,negative,neutral
"<USER> Hello SWA, Who is your POC for partnerships with nonprofit organizations in BWI area?",neutral,negative
<USER> thanks for updating me about the 1+ hour delay the exact second I got to ATL. 🙅🙅🙅,positive,negative
<USER> Man of steel flies to more cities though...and with more frequency too.,negative,positive
<USER> Airline trouble this winter &amp; not getting good customer service? contact <URL> we negotiate resolutions for You!,neutral,negative
<USER> thank you,neutral,positive
<USER> it looks like a mistake,neutral,positive
<USER> I get &amp; can appreciate that. I've just had so many problems in the last year flying with guys... Pretty aggravating.,negative,positive
<USER> or I'm sure her business will go else where for airline travel. Her name is Kathryn Sotelo,negative,neutral
"<USER>, was far less painful than what was coming from Avis. 💙",positive,negative
"<USER> you stood me up last night, but I'm giving you a second chance. I'm just a boy, tweeting an airline, asking them to fly him home.",negative,positive
“<USER>: <USER> We appreciate the #shoutout for Roberto. DM your confirmation code so we can forward your kind words.” sent,neutral,positive
<USER>...do you still have flat tire policy. Shuttle broke down on way to ORD. Will probably miss the 425pm to CLE...Help please!!,neutral,negative
"That's not the case.. They sent me a email with a link, I'll show you.. <USER> <URL>",neutral,negative
<USER> Dude named Shaquille at the desk in Charlotte was incredibly professional and helpful vs. some crazy angry people tonight,positive,negative
<USER> I need a customer service manager to contact me please,neutral,negative
nope. RT <USER>: Our fleet's on fleek. <URL>,negative,neutral
<USER> GRK13575M is the file reference,negative,neutral
"<USER> me again :) you don't have ABC on Inflight TV, do you? (If so, what channel? #SharkTank is on!)",neutral,negative
<USER> that is great. But once it gets to Buffalo will it be able to leave and get to JFK? Or there's issues still at Buffalo airport?,positive,negative
<USER> If you have well-priced flights to #Oahu - we could be best friends. <USER>,neutral,positive
<USER> Hi AA friends! My sis's flight AA362 DFW&gt;&gt;MKE was Cancelled Flighted due to weather. Any way you can help here? What are her options?,negative,neutral
<USER> heading to Buffalo... trading the cold in Boston for colder in Buffalo... Maybe the Caribbean next time?,positive,negative
.<USER> This flight attendant was extremely helpful to a woman who had a hard time walking. Very touching!,positive,negative
<USER> Thanks! Good to know.,neutral,positive
"<USER> yes it is in Dulles and I need it delivered to the Embassy Suites in Herndon, VA. I'm still in Chicago from the fiasco in LAX",negative,neutral
<USER> Thanks! Sent a DM to you. Let me know if oyu need any additional information.,positive,neutral
"<USER> also during the run I was instructed to do, I shattered my computer. <URL>",negative,neutral
<USER> Thank you for responding so quickly to my tweets I do appreciate that.,neutral,positive
<USER> you know what'd be beyond awesome? A pair of tickets to the <USER> show in ATL. A girl can dream #DestinationDragons,positive,neutral
<USER> Are all of your flights out of Charleston tomorrow on-time or is there a possibility for delays/Cancelled Flightlations?,neutral,negative
<USER> <USER> I'd like to see Markie too.,neutral,positive
<USER> what is your policy around bringing a breast pump on board?,neutral,negative
<USER> He thanks you. Anything you can do to help. Would any further information help in the process?,positive,neutral
<USER> question all. When will I receive my yearly bonus point accumulation? I think it's around now but not sure. Thanks! :),neutral,negative
"<USER> no, I haven't done that yet. Is that something I can do online? Thx!",negative,neutral
<USER> absolutely required? Are the flights going to be 100% Cancelled Flighted?,neutral,negative
<USER> in Bogota with no wallet is no fun. :-(,neutral,negative
"<USER> <USER> ""Considering?"" #Accessibility is an absolute MUST! #Equality",negative,neutral
"<USER> also. Emergency exit seats. 6'2"" and that's a huge win.",positive,neutral
<USER> I heard a rumor flight 898 was Cancelled Flightled. Is this true?,neutral,negative
<USER> how can customers get in touch with you internationally from Mexico for lost baggage,neutral,negative
"<USER> yeah, the mark was like a mile back. Also we're an hour Late Flight. So thanks a ton for the great service today.",negative,positive
<USER> have scheduled flight Sat(2morrow) CHO-CLT CHO needs to be added to weather advisory. Please evaluate asap.,neutral,negative
<USER> no her lunch was over by the time she got her call answered,neutral,negative
<USER> oh it's nothing my issue was already resolved and I am in the air,positive,negative
<USER> well it IS John Hughes' birthday. But I will stick w the plane &amp; hold off on trains &amp; automobiles. Gate workers are doing well.,positive,negative
<USER> telling my Fam in Vegas now. :),positive,neutral
<USER> all set. Figured it out at the baggage office!,neutral,negative
<USER> is #ELP Friendly. #flyerfriendly #united #emb145 #elpaso <URL>,positive,neutral
"<USER> clicked ""upgrade now"" and it didn't upgrade. What gives? <URL>",negative,neutral
